Structure,Date and Time,Headwater (ft-NAVD88),Tailwater (ft-NAVD88),Gates,Gate1 (ft),Gate2 (ft),Max MAGO,Gate3 (ft),Gate4 (ft),Gate5 (ft),Gate6 (ft)
S40,2026-04-18 19:34:27,6.65,-0.64,2,0.0,0.0,0.0,,,,
S41,2026-04-18 19:32:15,6.56,-0.1,2,0.5,0.0,0.497,,,,
S59,2026-04-18 19:31:14,54.88,51.9,1,0.3,,0.292,,,,
S60,2026-04-18 19:52:17,62.02,59.55,1,0.2,,0.198,,,,
S61,2026-04-18 19:30:16,51.78,48.71,1,0.7,,0.691,,,,
S62,2026-04-18 19:33:15,59.0,54.8,1,0.0,,0.0,,,,
S63,2026-04-18 19:31:15,59.54,55.92,1,0.2,,0.202,,,,
S63A,2026-04-18 19:59:07,55.98,48.6,2,0.0,0.0,0.0,,,,
S65,2026-04-18 19:39:17,48.5,45.18,5,0.3,0.5,0.498,0.5,0.3,0.4,
S65A,2026-04-18 19:31:17,45.14,37.53,3,0.5,0.4,0.487,0.4,,,
S65D,2026-04-18 19:31:18,24.71,19.83,4,0.3,0.0,0.496,0.2,0.5,,
S65DX1,2026-04-18 19:30:16,24.67,20.32,4,1.2,1.2,1.222,1.2,1.2,,
S65DX2,2026-04-18 19:31:18,24.71,19.83,2,0.0,0.0,0.0,,,,
S65E,2026-04-18 19:32:19,19.83,10.56,6,0.2,0.1,0.289,0.3,0.3,0.1,0.2
S65EX1,2026-04-18 19:32:19,19.83,10.56,3,0.0,0.0,0.0,0.0,,,
S67,2026-04-18 19:55:08,37.0,32.49,2,0.0,0.0,0.0,,,,
S67X,2026-04-18 19:55:08,37.0,32.49,4,0.0,0.0,0.0,0.0,0.0,,
S68,2026-04-18 19:36:18,36.98,30.66,3,0.0,0.0,0.0,0.0,,,
S68X,2026-04-18 19:36:18,36.98,30.66,1,0.0,,0.0,,,,
S70,2026-04-18 19:33:15,24.91,18.63,2,0.0,0.0,0.0,,,,
S71,2026-04-18 19:34:16,18.65,10.85,3,0.0,0.0,0.0,0.0,,,
S72,2026-04-18 19:35:16,19.63,11.44,2,0.0,0.0,0.0,,,,
S75,2026-04-18 19:36:14,24.91,19.68,1,0.3,,0.29,,,,
S82,2026-04-18 19:37:15,30.69,24.91,2,0.0,0.0,0.0,,,,
S83,2026-04-18 19:38:17,30.68,23.62,1,0.0,,0.0,,,,
S83X,2026-04-18 19:38:17,30.68,23.62,1,0.0,,0.0,,,,
S84,2026-04-18 19:37:17,23.61,10.67,2,0.0,0.0,0.0,,,,
S84X,2026-04-18 19:37:17,23.61,10.67,1,0.0,,0.0,,,,
S97,2026-04-18 19:43:35,21.16,6.54,2,0.0,0.0,0.0,,,,
S153,2026-04-18 19:35:16,17.41,12.81,2,0.0,0.2,0.2,,,,
S191,2026-04-18 19:33:16,18.16,10.64,3,0.0,0.0,0.0,0.0,,,
S351,2026-04-18 19:30:20,8.9,10.44,3,0.8,0.2,0.753,0.3,,,
S352,2026-04-18 19:31:04,10.48,9.77,2,0.0,0.0,0.0,,,,
S354,2026-04-18 19:33:26,9.39,10.44,2,1.9,1.5,1.935,,,,
